number,value,datetime_start,datetime_complete,duration,params_atr_period,params_buy_signal_mode,params_fallback_signal,params_max_position_pct,params_max_positions,params_max_total_pct,params_overheat_ret5_threshold,params_overheat_rsi_threshold,params_signal_BOLL_BREAK,params_signal_HIGH_BREAK,params_signal_KDJ_GOLD,params_signal_MACD_GOLD,params_signal_MA_GOLD,params_signal_VOL_GOLD,params_stop_loss_mult,params_take_profit_mult,params_trailing_pct,params_trailing_start,params_weight_OVERHEAT,params_weight_PB,params_weight_PE_TTM,params_weight_RET_20,params_weight_RSI_1,params_weight_VOLUME_RATIO,state
58,-1.6099648743726316,2026-04-27 02:18:21.527772,2026-04-27 02:29:49.183282,0 days 00:11:27.655510,7,AND,VOL_GOLD,0.2699156725581036,4,0.9594284126775173,0.10450175998749062,69.63147861002302,on,on,off,off,off,off,1.9099942978636641,4.965423834013878,0.10785830496368343,0.02582266289389306,0.36431899927288436,0.31584395480493965,0.24364268797880814,0.24309853167789472,0.17835634112645368,0.3927430396008622,COMPLETE
59,-0.37575363604678425,2026-04-27 02:19:48.928007,2026-04-27 02:31:18.261703,0 days 00:11:29.333696,7,AND,VOL_GOLD,0.27255724035471535,4,0.9603717550256217,0.07723787632903464,69.84973189797158,on,on,off,off,off,off,1.272757597489593,4.979720295658697,0.09753663999757839,0.024829139182140608,0.34276781763862085,0.3062252457690259,0.2733980302006224,0.26725391411331084,0.24998369829244438,0.391002016703978,COMPLETE
60,-0.7166511504089335,2026-04-27 02:28:42.469368,2026-04-27 02:39:55.645890,0 days 00:11:13.176522,13,AND,VOL_GOLD,0.2968425310437337,4,0.5960737314488835,0.07970384941649948,73.88350236531409,on,on,off,off,off,off,1.2903832515113551,4.833740962384183,0.1230270303117308,0.03843284330229989,0.3727020345002003,0.2673598191157701,0.3214977419646425,0.27380476810079696,0.2466236294236883,0.3746258108323578,COMPLETE
61,0.0,2026-04-27 02:28:50.741048,2026-04-27 02:40:06.553666,0 days 00:11:15.812618,13,AND,VOL_GOLD,0.2810884463553118,4,0.9567049383858807,0.1372394203324141,66.35738473076545,on,on,off,off,off,off,1.2934984868378896,4.224184217256185,0.1232414849365139,0.0391961569536589,0.37270683252291836,0.353792810854311,0.3197842008512977,0.27787569346838376,0.2494392623128909,0.37789200407608603,COMPLETE
62,-0.585517305864551,2026-04-27 02:29:49.193369,2026-04-27 02:41:19.945699,0 days 00:11:30.752330,13,AND,VOL_GOLD,0.2784492799137412,3,0.9407909687904324,0.13826061765659078,66.16202248165165,on,on,on,off,off,on,1.8012049640892076,4.2284512750924925,0.12463964182179739,0.030026403404828133,0.37865939422150274,0.26665607718366785,0.24703995505909604,0.21856846334501928,0.24891007212988692,0.3629591372593729,COMPLETE
63,1.1369878758845064,2026-04-27 02:31:18.264657,2026-04-27 02:42:43.099647,0 days 00:11:24.834990,13,AND,BOLL_BREAK,0.28157089097145155,3,0.5748550958169736,0.13659375160317322,66.42759405283026,off,on,on,off,off,on,1.6960123952395871,4.211201594629633,0.0870697644600596,0.06523655136558014,0.3921582469621644,0.3421373986149458,0.2511234801065758,0.22307735462693215,0.22860321999886193,0.36297216778326746,COMPLETE
64,2.2140262202039867,2026-04-27 02:39:55.648100,2026-04-27 02:50:59.192642,0 days 00:11:03.544542,9,AND,VOL_GOLD,0.28572494884927485,3,0.907129824592656,0.13605378723390574,66.2450768496681,off,on,on,off,off,off,1.738926518949084,4.405855887996603,0.08699498182943535,0.03197802897423513,0.3997712933580059,0.3533176060746081,0.23088043832119448,0.22554548543888214,0.22403476486259105,0.010276056512073736,COMPLETE
65,2.048694745506818,2026-04-27 02:40:06.555662,2026-04-27 02:51:10.915119,0 days 00:11:04.359457,9,AND,VOL_GOLD,0.25740277501494696,3,0.9241618300935545,0.12620068399103926,68.41951378483044,off,on,on,off,off,off,1.693930158475755,4.389126075734745,0.08651245152582303,0.031250617621761706,0.32590562307174936,0.23481533333512392,0.25190260911245443,0.2210540247719738,0.22626344256674952,0.012387475610236788,COMPLETE
66,1.7277149961204101,2026-04-27 02:41:19.960147,2026-04-27 02:52:37.437290,0 days 00:11:17.477143,9,AND,BOLL_BREAK,0.25111303712155103,4,0.9129282077700075,0.14971601339920376,63.17733214684936,off,on,on,off,off,off,1.6425538146542693,4.388875310932008,0.09906029237322701,0.030875030763225723,0.39369959533955373,0.23264980955769826,0.22595144014814098,0.22882100379069928,0.2210872995617323,0.04015941399808792,COMPLETE
67,2.048694745506818,2026-04-27 02:42:43.100841,2026-04-27 02:53:57.307401,0 days 00:11:14.206560,9,AND,MACD_GOLD,0.2509139435579823,4,0.9082681674196411,0.12545332196756986,68.92053861028045,off,on,on,off,off,off,1.6404251250943371,4.8630065745396855,0.09744694405740832,0.031052469858236544,0.2826948693247248,0.23298408160501363,0.23002954416646915,0.18382929960732725,0.13713178619510116,0.010632794859617382,COMPLETE
68,2.556143713505258,2026-04-27 02:50:59.194759,2026-04-27 03:02:04.493044,0 days 00:11:05.298285,10,AND,MACD_GOLD,0.24516375321936465,3,0.8605001039821509,0.1250872618328073,68.83136560624145,off,on,on,on,off,off,2.11459096139326,4.399190846139334,0.09705580847612437,0.05523973081569384,0.2821744743844958,0.23846075356321011,0.22918538574184855,0.15001566601115468,0.3989738804242263,0.05632495669924521,COMPLETE
69,1.9270138709733065,2026-04-27 02:51:10.917962,2026-04-27 03:02:15.651236,0 days 00:11:04.733274,9,AND,MACD_GOLD,0.25086307563340315,3,0.8428638774468011,0.1513710204411533,70.88856806466531,off,on,on,on,off,off,1.7729236805385487,4.3890829652045005,0.08849856892902916,0.029313601861307527,0.0889721390029741,0.19457383711080123,0.2314771567562408,0.15226890579628313,0.21673189107294313,0.022419621694354644,COMPLETE
70,1.083762190719067,2026-04-27 02:52:37.439294,2026-04-27 03:03:55.676714,0 days 00:11:18.237420,9,AND,MACD_GOLD,0.2356702855629131,3,0.8532862376666908,0.12497016418442661,71.14808179721994,off,on,on,on,off,off,1.6283271097164658,3.9063696984899736,0.08741054113104675,0.03415723040729394,0.3561860460410815,0.19109620659979754,0.2611773367161601,0.25479907336930874,0.3936908260644631,0.010022944927646242,COMPLETE
71,1.083762190719067,2026-04-27 02:53:57.309407,2026-04-27 03:05:14.780154,0 days 00:11:17.470747,9,AND,MACD_GOLD,0.2566283823547202,3,0.8545368644880955,0.12308555614695664,68.93129978526575,off,on,on,on,off,off,1.6054860095036771,3.925140438181097,0.0777210019831967,0.034425268865266374,0.3545454714726555,0.36744854304990004,0.2600235827257032,0.2572238273468067,0.0922690597940716,0.015283426175219855,COMPLETE
72,1.9680166779972246,2026-04-27 03:02:04.495065,2026-04-27 03:13:28.874147,0 days 00:11:24.379082,9,AND,MACD_GOLD,0.25413577426646455,3,0.9800941766220034,0.12269103200158779,69.04116092656291,off,on,on,on,off,off,1.6073076390296008,3.9958370607625278,0.07758171738701294,0.033770979668746176,0.2924958632520806,0.19365276462145145,0.19021326034837915,0.2970693353783432,0.3975273937233613,0.012008610042287406,COMPLETE
73,1.095057047452716,2026-04-27 03:02:15.664062,2026-04-27 03:13:30.385512,0 days 00:11:14.721450,8,AND,MACD_GOLD,0.23910176904814032,3,0.3572123009883685,0.12007865832269624,68.86668223175255,off,on,on,on,off,off,1.1905952632146097,3.9883585723200268,0.07836685928006332,0.0339617234779876,0.28843441143890985,0.37342783929433937,0.18847318525424012,0.2333318967476695,0.08639300233750041,0.013350645757660155,COMPLETE
74,2.5593533735368252,2026-04-27 03:03:55.679204,2026-04-27 03:15:13.366214,0 days 00:11:17.687010,8,AND,MACD_GOLD,0.2551462147396567,3,0.9799506245206202,0.15654119494972168,69.09141552088872,off,on,on,on,off,off,1.8026405582786311,4.345757711981358,0.07680778035298581,0.029382968422456503,0.29404619232991197,0.19291552571142054,0.19034846404359257,0.15052903823281658,0.06337392151581756,0.058559023650977024,COMPLETE
75,3.3068547305261666,2026-04-27 03:05:14.782154,2026-04-27 03:16:29.806766,0 days 00:11:15.024612,8,AND,MACD_GOLD,0.24170239102375576,3,0.9818022008269246,0.11334939772795069,70.80430452511213,off,on,on,on,off,off,1.8039991280707548,4.317584349749643,0.09498461878539541,0.029083753533516884,0.08356219082350866,0.2283171729761184,0.24281419681852584,0.15017114512738614,0.1484457766517729,0.06276018866009822,COMPLETE
76,3.002677196414022,2026-04-27 03:13:28.876653,2026-04-27 03:24:42.824972,0 days 00:11:13.948319,8,AND,MACD_GOLD,0.23828412715228195,3,0.9760959995957251,0.11349013522652537,72.70290867718228,off,on,on,on,off,off,1.8469840171639098,4.648201459918502,0.09512508702442338,0.06592478881379081,0.2875326269843567,0.22774815804684337,0.19191864857014607,0.30211947585392196,0.3811815902025895,0.054999095454546724,COMPLETE
77,3.045892979291989,2026-04-27 03:13:30.386886,2026-04-27 03:24:44.179758,0 days 00:11:13.792872,10,AND,MACD_GOLD,0.2238071294153161,3,0.9800468844884155,0.11278683637021181,68.76872878239077,off,on,on,on,off,off,2.1511136915198588,3.6978918816860347,0.11247833079232905,0.05309700712997094,0.3166871072428119,0.22844730491912113,0.1921906756412062,0.2949355094712229,0.384563797255205,0.059014167365215586,COMPLETE
78,2.62848794805253,2026-04-27 03:15:13.369142,2026-04-27 03:26:27.925391,0 days 00:11:14.556249,8,AND,MACD_GOLD,0.2290525740426315,4,0.9774154591904544,0.11146919775329925,72.24204525856572,off,on,on,on,off,off,1.8426057668835423,4.31588807016761,0.05876152039214045,0.055071929259305014,0.3140500885529022,0.22641958986006003,0.2396068746442557,0.2148580988227684,0.04238293971878851,0.06081347009271064,COMPLETE
79,1.3209802223631342,2026-04-27 03:16:29.808770,2026-04-27 03:27:54.687603,0 days 00:11:24.878833,8,AND,MACD_GOLD,0.22834714993588084,3,0.9926537625953946,0.11047993484971,72.55049666045059,off,on,on,on,off,off,2.1866272365294877,4.283153896727629,0.05848344145863095,0.05600988566620768,0.31410302863137174,0.2592106617099134,0.2546330330292003,0.15006734059301247,0.041495552705722416,0.06433895781444071,COMPLETE
80,2.651174051257478,2026-04-27 03:24:42.828613,2026-04-27 03:35:58.242267,0 days 00:11:15.413654,8,AND,MACD_GOLD,0.22722861677769984,3,0.972145683782874,0.11223620076556445,72.38438202926746,off,on,on,on,off,off,2.1667773420085594,4.576487938635323,0.05686927352063936,0.06524772601914305,0.30659545035811553,0.22025134833053547,0.16153848303147716,0.3311341883907485,0.05843284920120789,0.06371251109392706,COMPLETE
81,2.751846243360481,2026-04-27 03:24:44.181762,2026-04-27 03:35:55.357551,0 days 00:11:11.175789,10,AND,MACD_GOLD,0.2433775647266673,3,0.9996748991447254,0.11384627756699164,72.73674809626552,off,on,on,on,off,off,2.159297266834631,3.694159858385479,0.056686141546225643,0.05589967488624838,0.30937478865813073,0.2084114368725923,0.16029657922531554,0.3301100185013496,0.38432475623293344,0.058957822377415925,COMPLETE
82,2.7753648698202724,2026-04-27 03:26:27.932562,2026-04-27 03:37:55.733392,0 days 00:11:27.800830,10,AND,MACD_GOLD,0.22641422104719483,3,0.9833806701333571,0.11509644609522024,72.67793929482869,off,on,on,on,off,off,2.1951142408889024,4.307932409169338,0.05124275817747134,0.05578483841273585,0.3068675474187261,0.22078591282268756,0.16096234005624485,0.31457758578825795,0.03859711190083878,0.057458328084849915,COMPLETE
83,1.268443735519399,2026-04-27 03:27:54.730891,2026-04-27 03:39:21.360857,0 days 00:11:26.629966,10,AND,MACD_GOLD,0.24097357827974047,3,0.9788914082453355,0.0921947331525618,73.9233507272026,off,on,on,on,off,off,2.1661327469299683,4.593995818520171,0.11403400356173896,0.05221524394036,0.30376636310160077,0.22087768225701448,0.15868337273084623,0.29639227055494827,0.380926999463205,0.08613177040161253,COMPLETE
84,2.163689546817081,2026-04-27 03:35:55.363975,2026-04-27 03:47:10.898983,0 days 00:11:15.535008,10,AND,MACD_GOLD,0.22675535804807684,3,0.9786603389565579,0.08771947728024379,74.08046420345265,off,on,on,on,off,off,1.8226304751949396,3.730638717559103,0.05464416598499046,0.0558560772839562,0.305376502339758,0.2066163049408381,0.19122220691053973,0.32618517788247886,0.3807555534076311,0.09097497600542706,COMPLETE
85,0.626350018774325,2026-04-27 03:35:58.244688,2026-04-27 03:47:07.668435,0 days 00:11:09.423747,10,AND,MACD_GOLD,0.2164897839610096,3,0.9776991317521126,0.09263196506929564,74.06030356587569,off,on,on,on,off,off,1.996683971671159,3.6514241233107727,0.05077627041929674,0.05353899382052313,0.30963073173373235,0.2219407358080573,0.16634885724335433,0.3345074536718546,0.38028308015488455,0.05718125438536342,COMPLETE
86,1.9710819172785412,2026-04-27 03:37:55.737639,2026-04-27 03:49:12.811211,0 days 00:11:17.073572,10,AND,MACD_GOLD,0.22698337433751065,3,0.9989187880237004,0.07940466621421631,73.90672470145478,off,on,on,on,off,off,2.1701074997471808,3.6806941280985233,0.05152571795439595,0.052560222466122734,0.30349176601157385,0.22207634512074176,0.1592252057236594,0.32882896097772135,0.06131949283781066,0.08502673250897885,COMPLETE
87,2.751846243360481,2026-04-27 03:39:21.363228,2026-04-27 03:50:34.946116,0 days 00:11:13.582888,10,AND,MACD_GOLD,0.22773165648674298,3,0.998680032528976,0.11454023636158972,73.26992163849613,off,on,on,on,off,off,1.9814753590608956,3.6531941018478546,0.051405981480522334,0.05481144770282314,0.303366501699723,0.20737057042433246,0.1675068325168472,0.3390403009254964,0.05120955133533137,0.053574711998735584,COMPLETE
88,1.2874567121530536,2026-04-27 03:47:07.692489,2026-04-27 03:58:22.330975,0 days 00:11:14.638486,11,AND,MACD_GOLD,0.2273301691731722,3,0.9396430019039268,0.1103161193539525,72.02740467070868,off,on,on,on,off,off,1.8399182818976658,3.740101157269749,0.058932800917874076,0.055822102428774306,0.32515526196003797,0.20482946533135618,0.1524324394649337,0.3650125698106462,0.0520941818705606,0.08490271324038168,COMPLETE
89,2.3116743406804434,2026-04-27 03:47:10.899980,2026-04-27 03:58:33.087529,0 days 00:11:22.187549,8,AND,MACD_GOLD,0.24466200698405755,3,0.9985544940191654,0.1125181703977361,72.95032045196947,off,off,on,on,off,off,1.9755655252416844,3.6145325800838943,0.05955524133491183,0.04825765988494379,0.2990189909176365,0.15701794423087398,0.1530570305821106,0.35835174474710874,0.05882411038713764,0.11696459871394152,COMPLETE
90,1.8120013455238815,2026-04-27 03:49:12.813842,2026-04-27 04:00:31.006926,0 days 00:11:18.193084,11,AND,MACD_GOLD,0.21572953751437854,3,0.9438707881043499,0.11387377200876357,72.14144630666128,off,off,on,on,off,off,2.26661987816182,4.3069065308629035,0.05951346365370966,0.048738885832883376,0.3251029866217426,0.20163457386097738,0.11523662340415569,0.37028046873100245,0.028947295120664965,0.11671240733619664,COMPLETE
91,1.8120013455238815,2026-04-27 03:50:34.949778,2026-04-27 04:01:54.169983,0 days 00:11:19.220205,11,AND,MACD_GOLD,0.18471527576062913,3,0.9431938683739258,0.11294511375817243,71.95928239803588,off,off,on,on,off,off,2.320216611342279,3.2602081779869123,0.05925119849367619,0.04936525081702382,0.3210768815945554,0.16325398799852106,0.1520167399836581,0.36606410250961463,0.027669780926750983,0.07156119861950906,COMPLETE
92,2.815607907804006,2026-04-27 03:58:22.334975,2026-04-27 04:09:35.455338,0 days 00:11:13.120363,8,AND,MACD_GOLD,0.21516336574216696,3,0.9423375691903162,0.1132092023751948,74.81250728661436,off,on,on,on,off,off,2.3039283753545536,3.5866538450621506,0.056468662564715374,0.07269300833484589,0.24381413482309902,0.1585393414188347,0.10991279304098951,0.38636960774591445,0.02765601437689029,0.12055001079403303,COMPLETE
93,0.033027105662657624,2026-04-27 03:58:33.088529,2026-04-27 04:09:44.908116,0 days 00:11:11.819587,7,AND,MACD_GOLD,0.21547340066023282,3,0.9733999518913965,0.0865195112389059,70.52117555434354,off,on,on,on,off,off,2.318967514376958,3.8348207869764095,0.05615534435768045,0.06454117755369286,0.3200186379034281,0.164089221150217,0.11797544480112972,0.39094218419260596,0.02867518525491069,0.07043327235485913,COMPLETE
94,2.2356631774649953,2026-04-27 04:00:31.009926,2026-04-27 04:11:43.911991,0 days 00:11:12.902065,8,AND,MACD_GOLD,0.23334483917335058,3,0.9716261903939603,0.13121146803057113,70.91240242650868,off,on,on,on,off,off,2.3290513569631606,3.8364048837380365,0.05352662578291528,0.07341050291564559,0.24902060977965018,0.18722358327439664,0.1663716898028001,0.30992832930192193,0.3553531794813031,0.06889484844631921,COMPLETE
95,2.1707126118054454,2026-04-27 04:01:54.171995,2026-04-27 04:13:17.329047,0 days 00:11:23.157052,8,AND,MACD_GOLD,0.19954478247017837,3,0.9671988295600873,0.064559820839008,70.15388678438376,off,on,on,on,off,off,2.1134124017979725,3.46645982653142,0.05550146093074357,0.058620351671817734,0.2765466132092162,0.1838831753958797,0.14056271324949274,0.30864105349766935,0.36051582970804535,0.04710526589728618,COMPLETE
96,2.783831306232121,2026-04-27 04:09:35.464451,2026-04-27 04:21:01.884483,0 days 00:11:26.420032,7,AND,MACD_GOLD,0.23281897580846073,3,0.9686264089132449,0.06697635282193695,75.06797488019362,off,on,on,on,off,off,2.005363570149294,3.8544418092254347,0.054915132484876415,0.07283781958687197,0.249242562237362,0.21367799975068674,0.08889704214315441,0.38199467208383475,0.012404322418628155,0.049022386556223686,COMPLETE
97,1.7379982625346848,2026-04-27 04:09:44.910114,2026-04-27 04:21:15.450356,0 days 00:11:30.540242,8,AND,MACD_GOLD,0.231723814272285,4,0.9605368690862138,0.07292143953888157,75.10405903010817,off,on,on,on,off,off,1.994619211824418,3.486660449823111,0.06449194573225578,0.07439747662597702,0.2441300077008582,0.18605273636743253,0.07491665641065745,0.31364254789751633,0.010346474299245005,0.0493087553115388,COMPLETE
98,-0.5190369929030867,2026-04-27 04:11:43.913699,2026-04-27 04:22:15.922622,0 days 00:10:32.008923,8,OR,MACD_GOLD,0.19736721429830237,4,0.98973236748914,0.10703826682503745,75.4094183587146,off,on,on,on,off,off,2.0129478018055265,3.4739702200426623,0.06328148189852734,0.058853991897254855,0.2652862866743195,0.14537033697278653,0.1428415863323444,0.31420254052531904,0.011525854960990012,0.047766896149477114,COMPLETE
99,-0.40751573211419095,2026-04-27 04:13:17.338222,2026-04-27 04:22:45.622424,0 days 00:09:28.284202,7,OR,MACD_GOLD,0.2338524584806221,4,0.9890037080742027,0.10716592668667235,74.95618401256016,off,on,on,on,off,off,2.0128231922896225,3.5950536665732677,0.06350397320831866,0.06748323340886134,0.2669450431578052,0.2136815438631281,0.10106450777638727,0.34894993927197315,0.07466806909210302,0.05009558267394642,COMPLETE
