number,value,datetime_start,datetime_complete,duration,params_atr_period,params_buy_signal_mode,params_fallback_signal,params_max_position_pct,params_max_positions,params_max_total_pct,params_overheat_ret5_threshold,params_overheat_rsi_threshold,params_signal_BOLL_BREAK,params_signal_HIGH_BREAK,params_signal_KDJ_GOLD,params_signal_MACD_GOLD,params_signal_MA_GOLD,params_signal_VOL_GOLD,params_stop_loss_mult,params_take_profit_mult,params_trailing_pct,params_trailing_start,params_weight_OVERHEAT,params_weight_PB,params_weight_PE_TTM,params_weight_RET_20,params_weight_RSI_1,params_weight_VOLUME_RATIO,state
10,0.16798021603528357,2026-04-27 00:10:35.149201,2026-04-27 00:20:56.406664,0 days 00:10:21.257463,18,OR,BOLL_BREAK,0.19151231312394035,8,0.9330740680445209,0.1283604756567202,66.57618986105254,on,on,off,off,on,off,3.135454701977172,2.632908110218187,0.19025074263206587,0.02626952327179815,0.0978831588321377,0.39676206926868485,0.39497802662738285,0.3480060056622254,0.11538791175716087,0.10163879358249538,COMPLETE
11,-0.4917280167469458,2026-04-27 00:10:56.929219,2026-04-27 00:21:27.160616,0 days 00:10:30.231397,14,AND,MA_GOLD,0.1861727017504225,6,0.42370661048720537,0.19650662316153739,83.82548542709073,on,off,on,on,on,off,2.234719937837999,3.0958562768076687,0.1896400816860359,0.04997666340919867,0.13661493433321859,0.24797133545570837,0.1754728097560167,0.3689142852232074,0.23916777196513736,0.3672422329498514,COMPLETE
12,-1.5488123318490772,2026-04-27 00:20:51.988010,2026-04-27 00:30:10.207781,0 days 00:09:18.219771,10,AND,BOLL_BREAK,0.16969127612799817,9,0.36590316578979354,0.09613438970292122,70.11638754189879,off,off,off,off,on,off,1.1616054511606646,2.9233850819005855,0.15365919952000734,0.031162668855657154,0.16057134361020264,0.297412317942677,0.3081991157499576,0.2817548349250136,0.22737672863641145,0.045954301307006146,COMPLETE
13,-1.6084496515894329,2026-04-27 00:20:53.577830,2026-04-27 00:30:05.375190,0 days 00:09:11.797360,21,AND,MACD_GOLD,0.17942399401446113,10,0.7315998456206576,0.2864629338779629,72.12480066981303,on,on,on,on,on,on,1.8620932052676271,4.265561011505941,0.053417785072434915,0.07646184686981002,0.015481782495216978,0.020143087014176303,0.2597344569502844,0.19402439216212183,0.39941730224848615,0.18484388316744269,COMPLETE
14,-0.5539379772345089,2026-04-27 00:20:56.408164,2026-04-27 00:30:17.454853,0 days 00:09:21.046689,21,AND,MACD_GOLD,0.1996095611804715,7,0.7424188688165798,0.2988583176132391,68.92836003177102,on,on,off,on,on,on,2.0010018128719995,4.037547038984438,0.05732214947370269,0.07770215689829343,0.10391780333235734,0.3997533944059233,0.2589120097769619,0.2412561170802251,0.15279279800922954,0.16588486385669898,COMPLETE
15,-0.5539379772345089,2026-04-27 00:21:27.162112,2026-04-27 00:30:47.855734,0 days 00:09:20.693622,21,AND,MACD_GOLD,0.19446043856067968,10,0.7509802891596045,0.2899701276583774,69.3233992447058,on,on,off,on,on,on,2.0489313907001927,2.062583314438795,0.05318570799113427,0.07591625838651885,0.03374132641834862,0.3870865590321666,0.26323137603762775,0.2227749011077103,0.12964551841777688,0.15838430329245984,COMPLETE
16,0.11440542800327227,2026-04-27 00:30:05.376193,2026-04-27 00:40:15.512523,0 days 00:10:10.136330,17,OR,MACD_GOLD,0.22067729065074979,8,0.9480720084369735,0.05172216150900448,68.34303837854682,on,on,off,on,on,off,2.700348000266629,2.05264029556096,0.11704716689389769,0.07875069756069154,0.06113213145247758,0.3932096514760168,0.26479244400410906,0.20885688345693262,0.15679538577053537,0.1467510234362301,COMPLETE
17,-0.9005323089740591,2026-04-27 00:30:10.210788,2026-04-27 00:40:19.762548,0 days 00:10:09.551760,18,OR,MACD_GOLD,0.22142120938328633,7,0.9684802575113707,0.16726429454204575,67.09260985098668,on,on,off,on,on,on,2.842968059820522,2.1530284987562807,0.11416239999095205,0.07934301640587989,0.0723353594664805,0.39278684256352075,0.24304661364146984,0.1769911170781659,0.14916406950077063,0.14253946169096954,COMPLETE
18,-0.5515843990226602,2026-04-27 00:30:17.457369,2026-04-27 00:40:33.147486,0 days 00:10:15.690117,17,OR,MACD_GOLD,0.22195700132737417,8,0.9671175744440381,0.15182021794473555,66.49590380128909,on,on,off,on,on,off,2.787372669614864,2.0752139596489485,0.1116160637718889,0.053258529904553736,0.06460507970557638,0.39374486293535005,0.24058582553778715,0.16191463984009408,0.11374650258864738,0.24686743209692097,COMPLETE
19,0.7756210604482409,2026-04-27 00:30:47.857735,2026-04-27 00:41:01.993507,0 days 00:10:14.135772,17,OR,KDJ_GOLD,0.23413633145549648,8,0.9900643794190882,0.16198729338536152,60.644270711278814,off,on,on,on,on,off,2.7985408539436722,2.010289998173236,0.11914685895149194,0.05014214815987887,0.06407672681110416,0.12498264541175572,0.3330050862318974,0.1477340051784675,0.3313529096268761,0.24211516939822358,COMPLETE
